case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
timing,0,0.0,False,2,True,False,False,False,False,False,False,0.49529,-0.0055511,0.011237,-0.10256,1,0.33465,0,,,
slow timing,0,0.0,False,3,True,True,False,False,False,True,True,0.65011,0.01864,0.00249,0.35952,2,0.81701,0,,,
selection,0,0.0,False,2,True,False,True,False,False,True,True,0.58377,0.0099438,0.011478,0.179,10,0.23998,0,,,
slow selection,0,0.0,False,4,True,True,True,False,False,False,False,0.68413,0.025519,0.0026544,0.49875,10,0.35862,0,,,
planted 0.5,0,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.77532,0.04339,0.010951,0.81977,1,0.99976,0,0.97245,0.92217,0.83225
planted 0.8,0,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.78401,0.045861,0.011058,0.75001,1,0.99967,0,0.9581,0.89039,0.7793
late slow timing,0,0.0,False,2,True,False,False,False,False,False,True,0.59186,-0.064286,0.0041699,-0.22142,1,0.26362,0,,,
rotation,0,0.0,False,2,True,False,False,False,False,False,True,0.64736,-0.0076186,0.0022842,-0.28477,2,0.06326,0,,,
binary rotation,0,0.0,False,3,True,True,False,False,False,False,True,0.71106,0.005674,0.0044467,0.13922,2,0.49549,0,,,
top sector,0,0.0,False,3,True,True,False,False,False,False,True,0.74143,0.038159,0.003946,0.31079,1,0.85817,0,,,
near benchmark,0,0.0,False,2,True,False,False,False,False,True,True,0.70306,0.00024144,0.0011736,0.019625,2,0.32597,0,,,
timing,1,0.0,False,2,True,False,False,False,False,False,True,0.5713,0.007055,0.01102,0.13688,1,0.70673,0,,,
slow timing,1,0.0,False,3,True,True,False,False,False,True,True,0.57535,0.0044391,0.0025494,0.095595,1,0.64769,0,,,
selection,1,0.0,False,2,True,False,False,False,False,False,False,0.50582,-0.0034467,0.011362,-0.062818,10,0.033458,0,,,
slow selection,1,0.0,False,3,True,True,False,False,False,False,True,0.66795,0.020583,0.0024476,0.48815,10,0.31945,0,,,
planted 0.5,1,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.86001,0.056351,0.011093,1.003,1,0.99999,0,0.99397,0.97744,0.93811
planted 0.8,1,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.85112,0.055279,0.011192,1.1011,1,1,0,0.99944,0.99709,0.98925
late slow timing,1,0.0,False,2,True,False,False,False,False,False,True,0.86234,-0.0031655,0.0038842,-0.024535,1,0.47153,0,,,
rotation,1,0.0,False,2,True,False,False,False,False,False,True,0.64478,-0.0080237,0.002542,-0.30977,2,0.07029,0,,,
binary rotation,1,0.0,False,2,True,False,False,False,False,False,True,0.6927,0.0028496,0.0036693,0.064587,2,0.38941,0,,,
top sector,1,0.0,False,2,True,False,False,False,False,False,False,0.61668,0.0070719,0.0038514,0.06765,1,0.59396,0,,,
near benchmark,1,0.0,False,3,True,True,False,False,False,True,True,0.71026,0.0014707,0.0010849,0.11323,2,0.44748,0,,,
timing,2,0.0,False,2,True,False,False,False,False,False,False,0.39098,-0.024153,0.011518,-0.44308,1,0.015524,0,,,
slow timing,2,0.0,False,2,True,False,False,False,False,False,True,0.43365,-0.021563,0.0023364,-0.4787,1,0.020906,0,,,
selection,2,0.0,False,2,True,False,False,False,False,False,True,0.47994,-0.0078466,0.010796,-0.14773,10,0.01342,0,,,
slow selection,2,0.0,False,3,True,True,False,False,False,False,False,0.62981,0.013678,0.0023447,0.3296,10,0.38867,0,,,
planted 0.5,2,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.66306,0.025979,0.011538,0.45525,1,0.98047,0,0.5651,0.36907,0.21447
planted 0.8,2,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.80323,0.049548,0.011363,0.90013,1,0.99991,0,0.98609,0.95602,0.89503
late slow timing,2,0.0,False,2,True,False,False,False,False,False,True,0.68899,-0.029188,0.0034243,-0.1234,1,0.35192,0,,,
rotation,2,0.0,False,2,True,False,False,False,False,False,True,0.69833,0.0014134,0.0025765,0.055617,2,0.30438,0,,,
binary rotation,2,0.0,False,3,True,True,False,False,False,False,False,0.71837,0.007127,0.0034889,0.1716,2,0.52668,0,,,
top sector,2,0.0,False,2,True,False,False,False,False,False,True,0.32451,-0.049836,0.0035921,-0.38125,1,0.14848,0,,,
near benchmark,2,0.0,False,3,True,True,False,False,False,True,False,0.71482,0.0022157,0.001081,0.1744,2,0.50775,0,,,
timing,3,0.0,False,2,True,False,False,False,False,False,True,0.44868,-0.013638,0.01095,-0.24841,1,0.12801,0,,,
slow timing,3,0.0,False,3,True,True,False,True,False,False,False,0.6329,0.014535,0.0024964,0.31698,1,0.91053,0,,,
selection,3,0.0,False,2,True,False,False,False,False,False,True,0.46175,-0.011374,0.01108,-0.20887,10,0.0062,0,,,
slow selection,3,0.0,False,3,True,True,False,False,False,True,True,0.62004,0.012399,0.0024904,0.27586,11,0.29553,0,,,
planted 0.5,3,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.74007,0.032427,0.010793,0.59493,1,0.99636,0,0.86917,0.73499,0.56932
planted 0.8,3,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.81175,0.050169,0.011439,0.95259,1,0.99998,0,0.99397,0.97849,0.94261
late slow timing,3,0.0,False,2,True,False,False,False,False,False,True,0.68543,0.009432,0.0033396,0.03999,1,0.54182,0,,,
rotation,3,0.0,False,2,True,False,False,False,False,False,True,0.6716,-0.0029531,0.0025279,-0.10465,2,0.19161,0,,,
binary rotation,3,0.0,False,2,True,False,False,False,False,False,False,0.67477,-0.00073491,0.0044009,-0.017528,2,0.28036,0,,,
top sector,3,0.0,False,6,True,True,True,True,True,False,False,0.97422,0.073837,0.0033051,0.69541,2,0.97973,1,,,
near benchmark,3,0.0,False,2,True,False,False,False,False,True,True,0.66503,-0.0060463,0.0010791,-0.44505,2,0.0172,0,,,
timing,4,0.0,False,2,True,False,False,False,False,False,True,0.43702,-0.015625,0.011,-0.27688,1,0.12187,0,,,
slow timing,4,0.0,False,2,True,False,False,False,False,False,True,0.48444,-0.012329,0.002896,-0.22374,1,0.16271,0,,,
selection,4,0.0,False,2,True,False,True,False,False,True,True,0.56496,0.0065472,0.01125,0.11988,10,0.12318,0,,,
slow selection,4,0.0,False,4,True,True,True,False,False,False,True,0.66592,0.021242,0.0026193,0.4446,10,0.30076,0,,,
planted 0.5,4,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.78585,0.045458,0.01088,0.79278,1,0.99976,0,0.97197,0.92091,0.82984
planted 0.8,4,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.76386,0.041542,0.011226,0.71831,1,0.99911,0,0.9381,0.85246,0.72444
late slow timing,4,0.0,False,6,True,True,True,True,True,False,True,1.1248,0.097999,0.0032782,0.52844,1,0.97351,0,,,
rotation,4,0.0,False,2,True,False,False,False,False,False,True,0.68032,-0.0020185,0.0023461,-0.086557,2,0.20264,0,,,
binary rotation,4,0.0,False,2,True,False,False,False,False,False,False,0.65355,-0.0048543,0.0040333,-0.12005,2,0.16604,0,,,
top sector,4,0.0,False,6,True,True,True,True,True,False,False,0.89542,0.066443,0.0051524,0.55656,2,0.94012,0,,,
near benchmark,4,0.0,False,2,True,False,False,False,False,True,True,0.67783,-0.0039951,0.001074,-0.33614,2,0.055144,0,,,
timing,5,0.0,False,2,True,False,False,False,False,False,True,0.52233,-0.0011764,0.011548,-0.02191,1,0.45882,0,,,
slow timing,5,0.0,False,2,True,False,False,False,False,False,True,0.53095,-0.004744,0.0021833,-0.11774,1,0.29958,0,,,
selection,5,0.0,False,2,True,False,True,False,False,True,True,0.58892,0.010149,0.011477,0.1957,10,0.12066,0,,,
slow selection,5,0.0,False,4,True,True,True,False,False,False,True,0.69144,0.026268,0.0025916,0.54269,10,0.78061,0,,,
planted 0.5,5,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7027,0.033542,0.011555,0.57022,1,0.99214,0,0.77452,0.60319,0.42483
planted 0.8,5,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.86466,0.058702,0.0114,1.0792,1,1,0,0.99934,0.99671,0.98817
late slow timing,5,0.0,False,2,True,False,False,False,False,False,True,0.82094,0.022551,0.0030731,0.10537,1,0.63093,0,,,
rotation,5,0.0,False,2,True,False,False,False,False,False,True,0.65068,-0.0070735,0.0025004,-0.27388,2,0.050795,0,,,
binary rotation,5,0.0,False,2,True,False,False,False,False,False,True,0.68317,0.00082,0.0041262,0.01942,2,0.32466,0,,,
top sector,5,0.0,False,2,True,False,False,False,False,False,True,0.53218,-0.0034038,0.0038668,-0.028355,2,0.26901,0,,,
near benchmark,5,0.0,False,2,True,False,False,False,False,True,False,0.70637,0.00074113,0.0010607,0.065331,2,0.38141,0,,,
timing,6,0.0,False,2,True,False,False,False,False,False,False,0.39539,-0.02382,0.011133,-0.44163,1,0.033949,0,,,
slow timing,6,0.0,False,2,True,False,False,False,False,False,True,0.52568,-0.0051642,0.0023039,-0.11953,1,0.31435,0,,,
selection,6,0.0,False,2,True,False,False,False,False,False,True,0.53192,0.00060867,0.011426,0.011324,10,0.063318,0,,,
slow selection,6,0.0,True,0,True,True,True,True,True,True,True,0.76353,0.037971,0.0025454,0.81704,10,0.95254,0,,,
planted 0.5,6,0.013413153777783005,False,4,True,True,True,False,False,True,True,0.59529,0.013928,0.011505,0.22884,1,0.82614,0,0.26461,0.13009,0.056903
planted 0.8,6,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.74873,0.038392,0.011193,0.67896,1,0.99863,0,0.90635,0.79518,0.64494
late slow timing,6,0.0,False,3,True,True,False,True,False,False,True,1.0657,0.079697,0.0029569,0.43027,1,0.90108,0,,,
rotation,6,0.0,False,2,True,False,False,False,False,False,False,0.70006,0.0018024,0.0025339,0.068684,2,0.39024,0,,,
binary rotation,6,0.0,False,2,True,False,False,False,False,False,True,0.61378,-0.012088,0.0032197,-0.2866,2,0.060685,0,,,
top sector,6,0.0,False,2,True,False,False,False,False,False,False,0.66251,0.014629,0.0044021,0.13066,1,0.68148,0,,,
near benchmark,6,0.0,False,2,True,False,False,False,False,True,True,0.70095,-0.00010963,0.001078,-0.0090045,2,0.29036,0,,,
timing,7,0.0,False,2,True,False,False,False,False,False,True,0.3481,-0.032551,0.011423,-0.5701,1,0.0069858,0,,,
slow timing,7,0.0,False,3,True,True,False,False,False,True,False,0.63666,0.01713,0.0027128,0.29951,2,0.75511,0,,,
selection,7,0.0,False,2,True,False,True,False,False,True,True,0.5691,0.0083395,0.01117,0.13823,10,0.17401,0,,,
slow selection,7,0.0,False,3,True,True,False,False,False,True,True,0.62296,0.012871,0.0023013,0.28344,10,0.30345,0,,,
planted 0.5,7,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.7021,0.031196,0.011174,0.5533,1,0.99403,0,0.82806,0.67364,0.49795
planted 0.8,7,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.80001,0.047362,0.011394,0.8482,1,0.99988,0,0.98222,0.94601,0.87572
late slow timing,7,0.0,False,2,True,False,False,False,False,False,True,0.68913,-0.045257,0.0024294,-0.17894,1,0.30361,0,,,
rotation,7,0.0,False,2,True,False,False,False,False,False,True,0.69381,0.00065755,0.0023768,0.025295,2,0.33603,0,,,
binary rotation,7,0.0,False,2,True,False,False,False,False,False,False,0.66851,-0.0015509,0.0035489,-0.035894,2,0.25888,0,,,
top sector,7,0.0,False,2,True,False,False,False,False,False,True,0.32447,-0.057524,0.0044871,-0.46205,2,0.018299,0,,,
near benchmark,7,0.0,False,2,True,False,False,False,False,True,True,0.67717,-0.0040818,0.0010742,-0.34009,2,0.053047,0,,,
timing,8,0.0,False,2,True,False,False,False,False,False,True,0.50614,-0.0036468,0.010978,-0.06513,1,0.38976,0,,,
slow timing,8,0.0,False,2,True,False,False,False,False,False,True,0.5172,-0.0065981,0.002274,-0.15075,1,0.26579,0,,,
selection,8,0.0,False,2,True,False,True,False,False,False,True,0.54898,0.0036996,0.011697,0.065685,10,0.098649,0,,,
slow selection,8,0.0,False,3,True,True,False,False,False,False,False,0.62271,0.01272,0.0023618,0.27867,10,0.35211,0,,,
planted 0.5,8,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.66717,0.026506,0.011682,0.48104,1,0.97541,0,0.5835,0.38664,0.22801
planted 0.8,8,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.7872,0.045553,0.011143,0.83931,1,0.99991,0,0.98142,0.94332,0.86956
late slow timing,8,0.0,False,2,True,False,False,False,False,False,True,0.5433,-0.018795,0.0049892,-0.085253,1,0.40994,0,,,
rotation,8,0.0,False,2,True,False,False,False,False,False,True,0.69504,0.00047828,0.0023592,0.021949,2,0.33011,0,,,
binary rotation,8,0.0,False,3,True,True,False,False,False,False,True,0.72294,0.0080565,0.0035981,0.19099,2,0.56268,0,,,
top sector,8,0.0,False,2,True,False,False,False,False,False,True,0.29343,-0.051189,0.0041359,-0.4027,1,0.066898,0,,,
near benchmark,8,0.0,False,3,True,True,False,False,False,True,False,0.72509,0.003918,0.0010923,0.31046,2,0.68265,0,,,
timing,9,0.0,False,2,True,False,False,False,False,False,True,0.34665,-0.029638,0.011006,-0.49503,1,0.0097591,0,,,
slow timing,9,0.0,False,2,True,False,False,False,False,False,True,0.4186,-0.025733,0.0021395,-0.58855,1,0.0067652,0,,,
selection,9,0.0,False,2,True,False,False,False,False,False,True,0.5242,0.00045215,0.010987,0.0074154,10,0.061573,0,,,
slow selection,9,0.0,False,3,True,True,False,False,False,False,True,0.61459,0.013516,0.0028103,0.23668,10,0.2589,0,,,
planted 0.5,9,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.70563,0.03218,0.011166,0.60202,1,0.99657,0,0.87092,0.73649,0.56983
planted 0.8,9,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.91829,0.063689,0.010894,1.2246,1,1,0,0.99978,0.9988,0.99519
late slow timing,9,0.0,False,2,True,False,False,False,False,False,True,0.35163,-0.081027,0.0034534,-0.29891,2,0.066605,0,,,
rotation,9,0.0,False,3,True,True,False,False,False,False,False,0.741,0.0089129,0.0021383,0.35504,2,0.77092,0,,,
binary rotation,9,0.0,False,3,True,True,False,False,False,False,True,0.71732,0.007096,0.0035846,0.16699,2,0.53878,0,,,
top sector,9,0.0,False,2,True,False,False,False,False,False,True,0.40755,-0.035099,0.0034025,-0.30958,1,0.15968,0,,,
near benchmark,9,0.0,False,4,True,True,True,False,False,True,True,0.74308,0.0068711,0.0011711,0.51805,2,0.88845,0,,,
timing,10,0.0,False,2,True,False,False,False,False,False,True,0.4766,-0.0079014,0.010925,-0.14117,1,0.25691,0,,,
slow timing,10,0.0,False,2,True,False,False,False,False,False,True,0.44279,-0.019576,0.0028066,-0.40148,2,0.013292,0,,,
selection,10,0.0,False,2,True,False,True,False,False,True,True,0.57646,0.0080609,0.01137,0.15442,10,0.18659,0,,,
slow selection,10,0.0,False,3,True,True,False,False,False,True,False,0.65063,0.019149,0.0025298,0.35449,10,0.38756,0,,,
planted 0.5,10,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.73919,0.038051,0.011027,0.67455,1,0.99884,0,0.89355,0.77296,0.61527
planted 0.8,10,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.63195,0.019063,0.011553,0.33185,1,0.93425,0,0.42192,0.2438,0.1251
late slow timing,10,0.0,False,2,True,False,False,False,False,False,True,0.63405,-0.0069833,0.0023408,-0.042116,1,0.4446,0,,,
rotation,10,0.0,False,2,True,False,False,False,False,False,True,0.6483,-0.007228,0.0029398,-0.25837,2,0.078818,0,,,
binary rotation,10,0.0,False,2,True,False,False,False,False,False,False,0.63559,-0.0075056,0.0035371,-0.17213,2,0.13853,0,,,
top sector,10,0.0,False,2,True,False,False,False,False,False,True,0.54218,-0.0065006,0.002757,-0.047762,2,0.24567,0,,,
near benchmark,10,0.0,False,2,True,False,False,False,False,True,True,0.69972,-0.00031138,0.0010396,-0.025352,2,0.27139,0,,,
timing,11,0.0,False,2,True,False,False,False,False,False,True,0.47716,-0.008665,0.011415,-0.1443,1,0.27222,0,,,
slow timing,11,0.0,False,2,True,False,False,False,False,False,True,0.53393,-0.003124,0.0026602,-0.060066,1,0.40218,0,,,
selection,11,0.0,False,2,True,False,False,False,False,False,True,0.53526,0.0013766,0.01099,0.024712,10,0.070315,0,,,
slow selection,11,0.0,False,3,True,True,False,False,False,False,True,0.65403,0.019452,0.0022105,0.42956,10,0.25329,0,,,
planted 0.5,11,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.76166,0.040226,0.011132,0.72038,1,0.99813,0,0.902,0.78679,0.63274
planted 0.8,11,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.7064,0.031394,0.010928,0.56046,1,0.99577,0,0.80797,0.646,0.46812
late slow timing,11,0.0,False,2,True,False,False,False,False,False,True,0.73925,0.031831,0.0038885,0.17755,1,0.69976,0,,,
rotation,11,0.0,False,2,True,False,False,False,False,False,True,0.60647,-0.014823,0.0027595,-0.56812,2,0.0067311,0,,,
binary rotation,11,0.0,False,3,True,True,False,False,False,False,False,0.7187,0.0070935,0.0031867,0.17316,2,0.50797,0,,,
top sector,11,0.0,False,2,True,False,False,False,False,False,True,0.1881,-0.083278,0.0032986,-0.73204,2,0.0007555,0,,,
near benchmark,11,0.0,False,3,True,True,False,False,False,True,True,0.71245,0.0018544,0.001192,0.13783,2,0.43304,0,,,
timing,12,0.0,False,2,True,False,False,False,False,False,True,0.50967,-0.0035589,0.011208,-0.066832,1,0.38437,0,,,
slow timing,12,0.0,False,3,True,True,False,False,False,False,True,0.59104,0.0073692,0.002252,0.15625,1,0.74026,0,,,
selection,12,0.0,False,4,True,True,True,False,False,True,True,0.59337,0.011152,0.011608,0.21031,10,0.24422,0,,,
slow selection,12,0.0,False,3,True,True,False,False,False,False,True,0.63359,0.015941,0.0025405,0.32102,10,0.38295,0,,,
planted 0.5,12,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.6486,0.02348,0.011302,0.39414,1,0.9747,0,0.54605,0.35045,0.19983
planted 0.8,12,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.83731,0.052989,0.011054,0.97229,1,0.99999,0,0.99385,0.97776,0.94029
late slow timing,12,0.0,False,2,True,False,False,False,False,False,True,0.57545,-0.030207,0.0022948,-0.20821,1,0.24522,0,,,
rotation,12,0.0,False,2,True,False,False,False,False,False,True,0.66103,-0.0050502,0.0027531,-0.18107,2,0.14156,0,,,
binary rotation,12,0.0,False,2,True,False,False,False,False,False,True,0.63744,-0.0071399,0.0034069,-0.16465,2,0.12372,0,,,
top sector,12,0.0,False,2,True,False,False,False,False,False,True,0.62666,0.0066085,0.00395,0.063029,2,0.39174,1,,,
near benchmark,12,0.0,False,5,True,True,True,True,False,True,False,0.75212,0.0083405,0.0010961,0.66342,2,0.97314,0,,,
timing,13,0.0,False,2,True,False,False,False,False,False,True,0.37488,-0.025016,0.011159,-0.40223,1,0.040203,0,,,
slow timing,13,0.0,False,2,True,False,False,False,False,False,True,0.50035,-0.0096967,0.0024977,-0.18468,1,0.22462,0,,,
selection,13,0.0,False,2,True,False,False,False,False,False,True,0.53043,0.0010332,0.010674,0.017859,10,0.068058,0,,,
slow selection,13,0.0,False,3,True,True,False,False,False,False,False,0.66514,0.020112,0.0021895,0.44737,10,0.51968,0,,,
planted 0.5,13,0.013413153777783005,False,2,True,False,False,False,False,False,True,0.48406,-0.0088986,0.010838,-0.15859,1,0.23421,0,0.01077,0.0025806,0.00056968
planted 0.8,13,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.77889,0.046253,0.011002,0.80463,1,0.99984,0,0.97219,0.92163,0.8314
late slow timing,13,0.0,False,2,True,False,False,False,False,False,True,0.67201,-0.011842,0.0022101,-0.07657,1,0.4097,0,,,
rotation,13,0.0,False,2,True,False,False,False,False,False,False,0.68839,-0.00042676,0.002514,-0.017093,2,0.28135,0,,,
binary rotation,13,0.0,False,2,True,False,False,False,False,False,False,0.66709,-0.0020737,0.0034068,-0.048841,2,0.24476,0,,,
top sector,13,0.0,False,2,True,False,False,False,False,False,True,0.6531,0.013407,0.0041252,0.12909,2,0.46353,0,,,
near benchmark,13,0.0,False,2,True,False,False,False,False,True,True,0.67553,-0.0043874,0.0011254,-0.37081,2,0.027715,0,,,
timing,14,0.0,False,2,True,False,False,False,False,False,True,0.47475,-0.0078916,0.011333,-0.13005,1,0.27625,0,,,
slow timing,14,0.0,False,2,True,False,False,False,False,False,True,0.47837,-0.014209,0.0025099,-0.3155,1,0.1028,0,,,
selection,14,0.0,False,2,True,False,True,False,False,True,False,0.54382,0.0024446,0.011236,0.046845,10,0.085412,0,,,
slow selection,14,0.0,False,4,True,True,True,False,False,False,True,0.64715,0.019127,0.0026418,0.35687,10,0.25072,0,,,
planted 0.5,14,0.013413153777783005,False,7,True,True,True,True,True,True,False,0.80911,0.047183,0.011014,0.8968,1,0.99998,0,0.9937,0.97723,0.93891
planted 0.8,14,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.6988,0.032153,0.01112,0.55872,1,0.99011,0,0.77528,0.60167,0.42096
late slow timing,14,0.0,False,3,True,True,False,False,False,False,True,1.0501,0.086578,0.0036388,0.38232,1,0.86226,0,,,
rotation,14,0.0,False,2,True,False,False,False,False,False,True,0.62412,-0.011857,0.0022337,-0.46577,2,0.02849,0,,,
binary rotation,14,0.0,False,2,True,False,False,False,False,True,True,0.54544,-0.024828,0.003409,-0.59308,2,0.0071349,0,,,
top sector,14,0.0,False,3,True,True,False,False,False,True,True,0.75212,0.036213,0.003677,0.32011,2,0.71221,0,,,
near benchmark,14,0.0,False,2,True,False,False,False,False,True,True,0.68439,-0.0028844,0.0011005,-0.24121,2,0.08964,0,,,
timing,15,0.0,False,2,True,False,False,False,False,False,True,0.43428,-0.015549,0.011341,-0.27371,1,0.11619,0,,,
slow timing,15,0.0,False,2,True,False,False,False,False,False,True,0.50733,-0.0077671,0.0023011,-0.16591,1,0.26284,0,,,
selection,15,0.0,False,4,True,True,True,False,False,True,False,0.64638,0.020605,0.011436,0.37559,10,0.51314,0,,,
slow selection,15,0.0,False,3,True,True,False,False,False,False,False,0.59272,0.0073533,0.002195,0.16405,10,0.19419,0,,,
planted 0.5,15,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.65515,0.023085,0.011037,0.38988,1,0.9678,0,0.60489,0.40689,0.24344
planted 0.8,15,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.77909,0.046809,0.011243,0.81432,1,0.99996,0,0.98621,0.95589,0.89397
late slow timing,15,0.0,False,2,True,False,False,False,False,False,True,0.29773,-0.081036,0.0040228,-0.39731,2,0.033517,0,,,
rotation,15,0.0,False,2,True,False,False,False,False,False,True,0.67734,-0.0020459,0.0024934,-0.071727,2,0.21976,0,,,
binary rotation,15,0.0,False,2,True,False,False,False,False,False,True,0.64322,-0.0067227,0.0030417,-0.16998,2,0.13499,0,,,
top sector,15,0.0,False,3,True,True,False,False,False,False,True,0.77059,0.039779,0.0038481,0.34319,1,0.87956,0,,,
near benchmark,15,0.0,False,2,True,False,False,False,False,True,True,0.69274,-0.0015471,0.0011725,-0.1391,2,0.1509,0,,,
timing,16,0.0,False,2,True,False,False,False,False,False,True,0.27541,-0.044627,0.010974,-0.82697,1,5.4075e-05,0,,,
slow timing,16,0.0,False,3,True,True,False,False,False,True,False,0.57285,0.0040207,0.0025547,0.085294,1,0.64229,0,,,
selection,16,0.0,False,4,True,True,True,False,False,True,False,0.61475,0.015638,0.011191,0.27093,10,0.32297,0,,,
slow selection,16,0.0,False,4,True,True,True,False,False,False,True,0.64736,0.01729,0.0024212,0.41415,10,0.34381,0,,,
planted 0.5,16,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7278,0.037824,0.011067,0.6504,1,0.99871,0,0.91576,0.80918,0.66077
planted 0.8,16,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.80129,0.051227,0.011704,0.91043,1,0.99995,0,0.97091,0.91838,0.82533
late slow timing,16,0.0,False,2,True,False,False,False,False,False,True,0.96539,0.095465,0.0026422,0.39979,1,0.85919,0,,,
rotation,16,0.0,False,3,True,True,False,False,False,False,True,0.74818,0.010326,0.0022649,0.40233,2,0.84667,0,,,
binary rotation,16,0.0,False,2,True,False,False,False,False,False,True,0.61573,-0.011183,0.0029136,-0.25784,2,0.084751,0,,,
top sector,16,0.0,False,3,True,True,False,False,False,False,True,0.75131,0.031607,0.0031248,0.29859,1,0.88845,0,,,
near benchmark,16,0.0,False,2,True,False,False,False,False,True,False,0.69944,-0.00032543,0.0011189,-0.025141,2,0.27232,0,,,
timing,17,0.0,False,2,True,False,False,False,False,False,True,0.47421,-0.0097847,0.011346,-0.17182,1,0.25248,0,,,
slow timing,17,0.0,False,2,True,False,False,False,False,False,True,0.47151,-0.015994,0.0022051,-0.36229,1,0.074685,0,,,
selection,17,0.0,False,2,True,False,False,False,False,False,False,0.55011,0.0036018,0.011132,0.069127,10,0.10099,0,,,
slow selection,17,0.0,False,3,True,True,False,False,False,False,False,0.67553,0.023308,0.0024903,0.45776,10,0.39122,0,,,
planted 0.5,17,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.68296,0.028836,0.011478,0.4855,1,0.98365,0,0.7119,0.52368,0.34514
planted 0.8,17,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.81916,0.048934,0.011169,0.89808,1,0.99987,0,0.96735,0.91081,0.81322
late slow timing,17,0.0,False,2,True,False,False,False,False,False,True,0.92074,0.02774,0.0030396,0.18205,2,0.54209,0,,,
rotation,17,0.0,False,2,True,False,False,False,False,False,True,0.69532,0.0006971,0.0024029,0.029452,2,0.34014,0,,,
binary rotation,17,0.0,False,3,True,True,False,False,False,False,True,0.73431,0.010373,0.0034994,0.23778,2,0.61693,0,,,
top sector,17,0.0,False,2,True,False,False,False,False,False,True,0.3073,-0.068504,0.0038615,-0.48538,1,0.072985,0,,,
near benchmark,17,0.0,False,2,True,False,False,False,False,True,True,0.69162,-0.0016882,0.0011809,-0.14566,2,0.14388,0,,,
timing,18,0.0,False,4,True,True,True,False,False,True,False,0.59782,0.013116,0.011705,0.22146,1,0.84466,0,,,
slow timing,18,0.0,False,2,True,False,False,False,False,False,True,0.50924,-0.0082171,0.0023483,-0.16737,1,0.26608,0,,,
selection,18,0.0,False,2,True,False,False,False,False,False,True,0.54323,0.0023185,0.011234,0.044308,10,0.08341,0,,,
slow selection,18,0.0,False,4,True,True,True,False,False,True,False,0.69265,0.026483,0.0024661,0.53374,10,0.51931,0,,,
planted 0.5,18,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.74086,0.038135,0.011381,0.63535,1,0.99778,0,0.89571,0.77479,0.61558
planted 0.8,18,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.76289,0.038965,0.011149,0.74449,1,0.9997,0,0.95249,0.87987,0.76436
late slow timing,18,0.0,False,2,True,False,False,False,False,False,True,0.86731,0.0061196,0.0045589,0.026995,1,0.53206,0,,,
rotation,18,0.0,False,3,True,True,False,False,False,False,True,0.75657,0.011733,0.0023865,0.46155,2,0.86312,0,,,
binary rotation,18,0.0,False,3,True,True,False,False,False,False,True,0.73554,0.010045,0.0038243,0.24913,2,0.64414,0,,,
top sector,18,0.0,False,5,True,True,True,True,False,False,True,0.90375,0.057432,0.0044109,0.58359,1,0.98149,0,,,
near benchmark,18,0.0,False,2,True,False,False,False,False,True,True,0.65594,-0.007576,0.001103,-0.5675,2,0.0048545,0,,,
timing,19,0.0,False,2,True,False,False,False,False,False,True,0.5249,-0.00025031,0.011593,-0.0043978,1,0.4922,0,,,
