case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
late slow timing,154,0.0,False,3,True,True,False,False,False,False,True,1.0233,0.076809,0.0038914,0.3694,1,0.8794,0,,,
rotation,154,0.0,False,2,True,False,False,False,False,False,True,0.62076,-0.012238,0.0027274,-0.44029,2,0.018657,0,,,
binary rotation,154,0.0,False,3,True,True,False,False,False,False,False,0.71668,0.0066207,0.0030801,0.16439,2,0.50013,0,,,
top sector,154,0.0,False,2,True,False,False,False,False,False,True,0.44897,-0.031402,0.0045929,-0.27954,2,0.081667,1,,,
near benchmark,154,0.0,False,4,True,True,True,False,False,True,False,0.74043,0.0064497,0.0011006,0.49385,2,0.86421,0,,,
timing,155,0.0,False,2,True,False,False,False,False,False,True,0.3892,-0.025149,0.011352,-0.45793,1,0.013913,0,,,
slow timing,155,0.0,False,2,True,False,False,False,False,False,True,0.45258,-0.019826,0.0023499,-0.45618,1,0.035476,0,,,
selection,155,0.0,False,4,True,True,True,False,False,True,True,0.62103,0.017004,0.011276,0.28399,10,0.22632,0,,,
slow selection,155,0.0,False,3,True,True,False,False,False,False,True,0.62414,0.013576,0.0022981,0.2882,11,0.1597,0,,,
planted 0.5,155,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.71144,0.0308,0.011133,0.56324,1,0.99561,0,0.85257,0.70861,0.53692
planted 0.8,155,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.65248,0.021066,0.011283,0.3657,1,0.95435,0,0.53212,0.33714,0.18958
late slow timing,155,0.0,False,1,False,False,False,False,False,False,True,0.49002,-0.07234,0.0022534,-0.34834,2,0.061791,1,,,
rotation,155,0.0,False,2,True,False,False,False,False,False,True,0.60519,-0.015097,0.0022951,-0.59829,2,0.0018729,0,,,
binary rotation,155,0.0,False,3,True,True,False,False,False,False,True,0.76944,0.016773,0.0036306,0.39109,2,0.82776,0,,,
top sector,155,0.0,False,2,True,False,False,False,False,False,True,0.28533,-0.055331,0.0039405,-0.489,1,0.04803,1,,,
near benchmark,155,0.0,False,3,True,True,False,False,False,True,False,0.72009,0.0030398,0.0010777,0.25914,2,0.67392,0,,,
timing,156,0.0,False,2,True,False,False,False,False,False,True,0.38127,-0.026743,0.011211,-0.51123,1,0.013317,0,,,
slow timing,156,0.0,False,3,True,True,False,False,False,True,True,0.58038,0.0050324,0.0023049,0.11247,1,0.69335,0,,,
selection,156,0.0,False,4,True,True,True,False,False,True,False,0.60628,0.014025,0.011022,0.24626,10,0.29295,0,,,
slow selection,156,0.0,False,3,True,True,False,False,False,False,True,0.60701,0.0096717,0.0024121,0.2289,10,0.27315,0,,,
planted 0.5,156,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.69797,0.029597,0.010962,0.51847,1,0.9923,0,0.78543,0.61609,0.43686
planted 0.8,156,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.75133,0.038443,0.011042,0.70486,1,0.99918,0,0.94343,0.86182,0.73702
late slow timing,156,0.0,False,1,False,False,False,False,False,False,True,0.74173,0.0006257,0.0026213,0.003656,1,0.50387,1,,,
rotation,156,0.0,False,3,True,True,False,False,False,False,True,0.70604,0.0029925,0.0026163,0.10881,2,0.43134,0,,,
binary rotation,156,0.0,False,3,True,True,False,False,False,False,True,0.74002,0.011521,0.0035836,0.25922,2,0.67545,0,,,
top sector,156,0.0,False,2,True,False,False,False,False,False,True,0.51059,-0.020173,0.0028517,-0.21056,1,0.21055,1,,,
near benchmark,156,0.0,False,4,True,True,True,False,False,True,True,0.73602,0.0057441,0.0011469,0.43862,2,0.81726,0,,,
timing,157,0.0,False,2,True,False,False,False,False,False,True,0.33362,-0.034146,0.011262,-0.59506,1,0.002846,0,,,
slow timing,157,0.0,False,3,True,True,False,True,False,False,True,0.64485,0.016886,0.0024029,0.35983,1,0.93086,0,,,
selection,157,0.0,False,2,True,False,False,False,False,True,True,0.53576,0.0022509,0.011261,0.037852,10,0.082648,0,,,
